time,temperature,humidity,pir
2026-06-03 23:36:27.034591,27.9,48.0,1
2026-06-03 23:36:29.059556,27.9,48.0,1
2026-06-03 23:36:31.076162,28.0,48.0,1
2026-06-03 23:36:33.109555,28.2,48.0,1
2026-06-03 23:36:35.134810,28.2,48.0,1
2026-06-03 23:36:37.157697,28.2,48.0,1
2026-06-03 23:36:39.177867,28.2,48.0,1
2026-06-03 23:36:41.202520,28.2,48.0,1
2026-06-03 23:42:30.051164,29.8,50.0,1
2026-06-03 23:42:32.078225,29.7,45.0,1
2026-06-03 23:42:34.104695,29.7,45.0,1
2026-06-03 23:42:36.129691,29.7,45.0,1
2026-06-03 23:42:38.154749,29.7,45.0,1
2026-06-03 23:42:40.179985,29.7,45.0,1
